team,champion_probability,champion_probability_pct
France,0.13666666666666666,13.67
Spain,0.11733333333333333,11.73
England,0.07933333333333334,7.93
Germany,0.06833333333333333,6.83
Brazil,0.06833333333333333,6.83
Argentina,0.06433333333333334,6.43
Netherlands,0.058666666666666666,5.87
Colombia,0.058333333333333334,5.83
Morocco,0.05733333333333333,5.73
Uruguay,0.05333333333333334,5.33
Ecuador,0.04566666666666667,4.57
Croatia,0.041,4.1
Japan,0.041,4.1
Belgium,0.038,3.8
Switzerland,0.038,3.8
Portugal,0.034333333333333334,3.43
